Rank,Name,Growth_Rate,Revenue,Industry,Employees,City,State
746,Fresh Consulting,6.15,2700000.0,IT Services,26,Bellevue,WA
747,Deuce Entertainment,6.14,20600000.0,Consumer Products & Services,17,Beverly Hills,CA
748,Ikon Financial Group,6.13,8100000.0,Financial Services,77,Isle of Palms,SC
749,Public Engines,6.13,3500000.0,Security,30,Draper,UT
750,Livestream,6.13,18900000.0,Media,146,New York,NY
751,SADA Systems,6.13,18300000.0,IT Services,72,N. Hollywood,CA
752,Private Prep,6.12,2500000.0,Education,100,New York,NY
753,A&R Solar,6.11,2400000.0,Energy,9,Seattle,WA
754,Tempus Nova,6.1,6100000.0,IT Services,2,Denver,CO
755,Click Ship Commerce,6.07,3500000.0,Retail,7,Indianapolis,IN
756,Astonish Results,6.06,14500000.0,Insurance,91,Warwick,RI
757,Tableau Software,6.05,127700000.0,Software,834,Seatle,WA
758,Strategic AR,6.04,4500000.0,Health,12,Overland Park,KS
759,Dynamit Technologies,6.02,3500000.0,Software,35,Columbus,OH
760,Advantar Labs,6.01,4600000.0,Health,30,SAN DIEGO,CA
761,Cherokee Data Solutions,6.0,10100000.0,Business Products & Services,8,Claremore,OK
762,Initials,6.0,12600000.0,Retail,46,Clarkesville,GA
763,Integrity Express Logistics,5.99,33600000.0,Logistics & Transportation,62,Blue Ash,OH
764,Intuitive Technology Group,5.98,16400000.0,IT Services,204,Bloomington,MN
765,PaperG,5.96,7100000.0,Advertising & Marketing,30,San Francisco,CA
766,Marakana,5.96,4100000.0,Education,15,San Francisco,CA
767,Gazelle,5.94,57600000.0,Consumer Products & Services,65,Boston,MA
768,Jatrodiesel,5.94,7400000.0,Energy,18,Miamisburg,OH
769,Peeled Snacks,5.94,5800000.0,Food & Beverage,14,Brooklyn,NY
770,Southern Tide,5.92,20400000.0,Consumer Products & Services,38,Greenville,SC
771,WaterFilters.net,5.92,37400000.0,Retail,60,Zumbrota,MN
772,Spigit,5.91,17400000.0,Software,125,Pleasanton,CA
773,capSpire,5.91,4600000.0,Energy,27,Fayetteville,AR
774,Willis Group,5.9,128000000.0,Business Products & Services,276,Houston,TX
775,FluidEdge Consulting,5.9,9600000.0,Health,49,Wayne,PA
776,WhiteOak Group,5.89,15300000.0,IT Services,24,Easton,MD
777,Tevet,5.88,65300000.0,Manufacturing,12,Mosheim,TN
778,Surge,5.84,2800000.0,IT Services,40,Bellevue,WA
779,Verengo Solar,5.83,108100000.0,Energy,842,Torrance,CA
780,Access America Transport,5.83,350600000.0,Logistics & Transportation,345,Chattanooga,TN
781,Rise Interactive,5.83,19500000.0,Advertising & Marketing,72,Chicago,IL
782,General Things,5.82,2800000.0,IT Services,23,San Francisco,CA
783,Private Label Nutraceuticals,5.82,31900000.0,Business Products & Services,120,Norcross,GA
784,Edge Homes,5.81,71200000.0,Construction,37,Orem,UT
785,JayBird,5.8,14700000.0,Consumer Products & Services,30,Salt Lake City,UT
786,Roof Diagnostics Solar,5.8,28600000.0,Energy,245,Wall,NJ
787,iStrategyLabs,5.79,4100000.0,Advertising & Marketing,23,Washington,DC
788,Digital Energy,5.79,12300000.0,Consumer Products & Services,16,Brooklyn,NY
789,Neighborhood Loans,5.78,2400000.0,Financial Services,40,Lombard,IL
790,Revolution Foods,5.77,54100000.0,Food & Beverage,942,Oakland,CA
791,Equis Staffing,5.75,7900000.0,Human Resources,9,Calabasas,CA
792,Carousel Checks,5.75,14000000.0,Business Products & Services,71,Bridgeview,IL
793,Promofill,5.74,6300000.0,Logistics & Transportation,11,Irvine,CA
794,Construct Solutions,5.72,7200000.0,Construction,48,Indianapolis,IN
795,Techwave Consulting,5.72,9600000.0,IT Services,75,EXTON,PA
796,Clarity Software Solutions,5.72,23100000.0,Business Products & Services,45,Guilford,CT
797,Conventus,5.71,6000000.0,Security,30,Chicago,IL
798,AnchorFree,5.69,24800000.0,Security,55,Mountain View,CA
799,Jobvite,5.69,10100000.0,Human Resources,61,Burlingame,CA
800,MobileDemand,5.66,18900000.0,Computer Hardware,34,hiawatha,IA
801,Wireless Environment,5.65,3600000.0,Consumer Products & Services,7,Solon,OH
802,Independent Catalyst,5.63,5200000.0,IT Services,3,Pittsburgh,PA
803,MES,5.61,7600000.0,Logistics & Transportation,18,Lewis Center,OH
804,Innovative Advertising,5.61,11200000.0,Advertising & Marketing,20,Mandeville,LA
805,Logos Logistics,5.6,40600000.0,Logistics & Transportation,22,Taylor,MI
806,EngagePoint,5.6,22600000.0,Health,137,Ft. Lauderdale,FL
807,Trulia,5.59,68100000.0,Real Estate,462,San Francisco,CA
808,Intone Networks,5.58,17400000.0,IT Services,260,iselin,NJ
809,The Ruby Group,5.57,11000000.0,Real Estate,15,Goshen,NY
810,Unleashed Technologies,5.57,2100000.0,Business Products & Services,24,Columbia,MD
811,SoundConnect,5.57,2600000.0,Telecommunications,9,Quincy,MA
812,Reliant Services Group,5.56,2100000.0,Financial Services,16,San Diego,CA
813,Episource,5.56,9400000.0,Health,344,La Palma,CA
814,Sigmaways,5.55,5300000.0,IT Services,70,Fremont,CA
815,Fingerpaint,5.55,9500000.0,Advertising & Marketing,51,Saratoga Springs,NY
816,RevolutionEHR,5.53,3500000.0,Software,22,Madison,WI
817,C2 Solutions Group,5.53,13900000.0,Government Services,48,Reston,VA
818,Salzinger & Company,5.53,3900000.0,IT Services,15,Scarsdale,NY
819,MesoCoat,5.53,2500000.0,Manufacturing,32,Euclid,OH
820,Black Mountain Systems,5.52,12800000.0,Software,63,San Diego,CA
821,InDemand Interpreting,5.5,3900000.0,Health,130,Tukwila,WA
822,Dash Two,5.47,4300000.0,Advertising & Marketing,8,Culver City,CA
823,Mission3,5.46,2100000.0,Software,12,Phoenix,AZ
824,CommunicateHealth,5.46,2200000.0,Health,23,Northampton,MA
825,New River Systems,5.44,8000000.0,Government Services,27,Sterling,VA
826,Pensionmark Retirement Group,5.44,7000000.0,Financial Services,70,Santa Barbara,CA
827,Proforma Powerhouse Solutions,5.44,2100000.0,Advertising & Marketing,3,Brooklyn Park,MN
828,Vectora Transportation,5.42,33400000.0,Logistics & Transportation,14,Chicago,IL
829,Stage 4 Solutions,5.41,4100000.0,Advertising & Marketing,31,Saratoga,CA
830,Launchpad Advertising,5.4,6600000.0,Advertising & Marketing,40,New York,NY
831,Netwrix,5.39,7400000.0,Software,92,Irvine,CA
832,In the Know Experiences,5.39,4300000.0,Travel & Hospitality,6,New York,NY
833,Symons Ambulance,5.38,3900000.0,Health,200,San Bernardino,CA
834,Verus Consulting Group,5.37,4600000.0,IT Services,25,Naples,FL
835,eGlobalTech,5.34,41100000.0,IT Services,200,Arlington,VA
836,Textbroker International,5.34,7200000.0,Advertising & Marketing,47,Las Vegas,NV
837,Gogo,5.34,233500000.0,Telecommunications,570,Itasca,IL
838,Evolve Bank & Trust,5.33,79400000.0,Financial Services,425,memphis,TN
839,ExclusiveCPA,5.33,4100000.0,Advertising & Marketing,5,Kaukauna,WI
840,Daytner Construction,5.32,22800000.0,Construction,11,Mount Airy,MD
841,TDBBS,5.32,18300000.0,Retail,51,Richmond,VA
842,Innovative Construction & Roofing,5.31,21500000.0,Construction,18,Saint Louis,MO
843,NorAm International Partners,5.31,79200000.0,Business Products & Services,365,Hebron,KY
844,American Dream Home Improvement,5.3,32800000.0,Construction,160,Downers Grove,IL
845,Mophie,5.3,102000000.0,Consumer Products & Services,92,Santa Ana,CA
846,HighTower Advisors,5.28,75700000.0,Financial Services,236,Chicago,IL
847,Silverton Mortgage Specialists,5.27,17600000.0,Financial Services,135,Atlanta,GA
848,Blink Reaction,5.26,2900000.0,IT Services,16,Manalapan,NJ
849,Meers Advertising,5.25,7100000.0,Advertising & Marketing,22,Kansas City,MO
850,Valuation Management Group,5.25,33300000.0,Real Estate,68,Marietta,GA
851,Connected Logistics,5.24,15800000.0,Government Services,79,Huntsville,AL
852,Ascendo Resources,5.23,5800000.0,Human Resources,8,Coral Gables,FL
853,Insurance Care Direct,5.23,32100000.0,Insurance,65,deerfield beach,FL
854,Hipercept,5.23,4200000.0,Real Estate,30,New York,NY
855,Growth Acceleration Partners,5.23,8300000.0,IT Services,146,Austin,TX
856,Trigger Point Perfomance,5.23,8400000.0,Health,38,Austin,TX
857,SeeChange Health,5.23,41200000.0,Health,78,San Francisco,CA
858,Measure Consumer Perspectives,5.22,3100000.0,Business Products & Services,24,Louisville,KY
859,Info Labs,5.21,3000000.0,IT Services,26,HERNDON,VA
860,Mosquito Squad,5.21,12300000.0,Consumer Products & Services,223,Richmond,VA
861,MentorMate,5.21,6900000.0,Software,161,Minneapolis,MN
862,Clean Currents,5.19,13200000.0,Energy,24,Silver Spring,MD
863,Amotec,5.18,9600000.0,Human Resources,25,Cleveland,OH
864,Mail Shark,5.18,5400000.0,Advertising & Marketing,25,Mohnton,PA
865,SRS Core,5.17,2900000.0,Business Products & Services,19,Alpharetta,GA
866,The Ticket Experience,5.17,10500000.0,Retail,7,Houston,TX
867,Accurate Group,5.17,55100000.0,Real Estate,187,Cleveland,OH
868,Zero Point,5.16,8800000.0,Government Services,34,Virginia Beach,VA
869,Bridgelux,5.16,86200000.0,Manufacturing,225,Livermore,CA
870,Tango Networks,5.14,2900000.0,Telecommunications,65,Frisco,TX
871,CrossCountry Mortgage,5.13,56600000.0,Financial Services,334,Brecksville,OH
872,ChaiOne,5.12,3400000.0,Software,31,Houston,TX
873,Johnson Creek Enterprises,5.11,7600000.0,Consumer Products & Services,30,HARTLAND,WI
874,No Limit Agency,5.08,2100000.0,Advertising & Marketing,21,Chicago,IL
875,Diamond Solutions,5.08,15900000.0,Government Services,150,Fairfax,VA
876,Solentus,5.08,10200000.0,Government Services,32,Arlington,VA
877,Gorilla Commerce,5.07,11000000.0,Business Products & Services,125,Chicago,IL
878,Jama Software,5.07,8600000.0,Software,65,Portland,OR
879,Personnel Services,5.05,20700000.0,Business Products & Services,684,Wichita Falls,TX
880,Glover Services,5.05,10200000.0,Construction,85,Bluffdale,UT
881,Bluegrass Supply Chain Services,5.05,13200000.0,Logistics & Transportation,137,Bowling Green,KY
882,Nest Realty,5.04,4100000.0,Real Estate,5,Charlottesville,VA
883,Envisage Information Systems,5.04,17000000.0,IT Services,142,Ithaca,NY
884,Divirsus,5.04,6000000.0,Construction,20,Edmond,OK
885,VetDepot.com,5.04,6800000.0,Retail,12,Encinitas,CA
886,MCH,5.03,2400000.0,Government Services,29,Sweetwater,TN
887,B3 Solutions,5.02,32200000.0,Government Services,170,Alexandria,VA
888,Bravo Wellness,5.01,16200000.0,Health,105,Cleveland,OH
889,LiveLook,5.0,2600000.0,Software,13,Matawan,NJ
890,Payoneer,5.0,40400000.0,Financial Services,207,New YOrk,NY
891,TGG Accounting,5.0,4800000.0,Financial Services,55,San Diego,CA
892,Quantix,4.99,18600000.0,IT Services,116,Denver,CO
893,GiftBasketsOverseas.com,4.99,2400000.0,Food & Beverage,12,Arlington,MA
894,New Penn Financial,4.98,174500000.0,Financial Services,1032,Plymouth Meeting,PA
895,EVOL Foods,4.97,12400000.0,Food & Beverage,54,Boulder,CO
896,Optimatic,4.97,8700000.0,Advertising & Marketing,8,new york,NY
897,Boston Technologies,4.94,14800000.0,Financial Services,75,Boston,MA
898,aimClear,4.94,4200000.0,Advertising & Marketing,23,Duluth,MN
899,IMS Internet Media Services,4.93,73200000.0,Advertising & Marketing,129,Miami,FL
900,OuterBox Solutions,4.92,2100000.0,Advertising & Marketing,30,Akron,OH
901,Cimation,4.91,30300000.0,Energy,146,Houston,TX
902,Kingfisher Systems,4.91,41800000.0,Government Services,141,Falls Church,VA
903,Astor & Sanders,4.9,11200000.0,Government Services,120,Rockville,MD
904,Clearent,4.89,47200000.0,Financial Services,98,Clayton,MO
905,Sundance Healthcare,4.89,15200000.0,Health,200,Fort Worth,TX
906,IDC Technologies,4.88,57700000.0,IT Services,700,Milpitas,CA
907,Vigilant Technologies,4.88,9400000.0,IT Services,80,Troy,MI
908,Infotree Service,4.88,27100000.0,Engineering,78,Plymouth,MI
909,Choice Home Warranty,4.87,16200000.0,Insurance,71,Edison,NJ
910,CFN Services,4.87,20300000.0,Telecommunications,23,Herndon,VA
911,Tycon Systems,4.87,2700000.0,Security,9,Bluffdale,UT
912,Divurgent,4.86,14500000.0,Health,36,Virginia Beach,VA
913,iUnlimited Investigative Services,4.84,2600000.0,Security,48,Sacramento,CA
914,New American Funding,4.82,146300000.0,Financial Services,592,Tustin,CA
915,Footage Firm,4.81,7500000.0,Media,14,Reston,VA
916,VCC Optoelectronics,4.81,10400000.0,Manufacturing,31,Poway,CA
917,Burrow Global,4.79,160400000.0,Engineering,974,Houston,TX
918,Redhorse,4.79,4700000.0,Engineering,61,San Diego,CA
919,KeepCalling,4.78,28300000.0,Telecommunications,67,Atlanta,GA
920,Advantage Capital Funds,4.78,2600000.0,Financial Services,8,Van Nuys,CA
921,Granite Tactical Vehicles,4.77,3800000.0,Manufacturing,16,Mount Airy,NC
922,Rebecca Minkoff,4.75,58900000.0,Retail,75,New York,NY
923,L2TMedia,4.75,16300000.0,Advertising & Marketing,37,Evanston,IL
924,N2 Publishing,4.74,21300000.0,Media,70,Wilmington,NC
925,Day Online Solutions,4.72,2100000.0,Advertising & Marketing,2,New Albany,IN
926,Atlas RFID Solutions,4.71,7200000.0,Software,35,Birmingham,AL
927,Lighthouse Technologies,4.71,7200000.0,IT Services,55,Dayton,OH
928,RateSpecial Interactive,4.69,23900000.0,Advertising & Marketing,35,Pasadena,CA
929,Connectivity Wireless Solutions,4.69,30400000.0,Telecommunications,111,Duluth,GA
930,Project Frog,4.68,28700000.0,Manufacturing,33,San Francisco,CA
931,PrintIt4Less.com,4.68,2100000.0,Business Products & Services,12,Boca Raton,FL
932,MindSeeker,4.68,16600000.0,IT Services,150,Lansdowne,VA
933,BPM Specialists,4.68,6600000.0,IT Services,95,Alpharetta,GA
934,First Financial Services,4.67,34100000.0,Financial Services,188,Charlotte,NC
935,Ioxus,4.67,5400000.0,Energy,90,Oneonta,NY
936,JWB Real Estate Companies,4.65,16100000.0,Real Estate,26,Jacksonville,FL
937,Bay Equity,4.65,36300000.0,Financial Services,502,"San Francisco,",CA
938,ShopJimmy.com,4.64,15000000.0,Retail,82,Burnsville,MN
939,Infojini,4.64,4800000.0,IT Services,50,Columbia,MD
940,Bell Sports Marketing,4.64,5000000.0,Retail,19,Scottsdale,AZ
941,Locum Leaders,4.64,20200000.0,Health,31,Alpharetta,GA
942,Exacq Technologies,4.62,54600000.0,Security,118,Fishers,IN
943,Fitness Consulting Group,4.61,3100000.0,Health,40,Elizabethtown,KY
944,HealthCatalyst,4.61,3700000.0,Health,60,Salt Lake City,UT
945,US WorldMeds,4.6,74100000.0,Health,73,Louisville,KY
946,SMRC,4.6,8900000.0,Government Services,115,Sterling,VA
947,Real Property Management,4.6,22400000.0,Real Estate,49,Layton,UT
948,Software Advice,4.6,8800000.0,Business Products & Services,45,Austin,TX
949,George Street Photo & Video,4.59,10800000.0,Consumer Products & Services,65,Chicago,IL
950,EP Technology,4.57,28700000.0,Security,70,Champaign,IL
951,Peerless Network,4.57,63800000.0,Telecommunications,50,Chicago,IL
952,SnapAV,4.56,88900000.0,Manufacturing,125,Charlotte,NC
953,Partner Professional Solutions,4.56,34800000.0,Human Resources,260,Cincinnati,OH
954,G2 Revolution,4.55,4200000.0,Environmental Services,28,Lake in the Hills,IL
955,CCS Construction Staffing,4.55,7400000.0,Human Resources,2400,Charlotte,NC
956,Steals.com,4.54,15300000.0,Retail,71,Salt Lake City,UT
957,Gateway Mortgage Group,4.53,82100000.0,Financial Services,345,Tulsa,OK
958,Tanis Communications,4.53,2100000.0,Advertising & Marketing,7,San Jose,CA
959,Punchkick Interactive,4.52,2000000.0,Advertising & Marketing,27,Chicago,IL
960,Advanced Disposal,4.51,1400000000.0,Environmental Services,5347,Ponte Vedra,FL
961,JB Cosmetics,4.5,7100000.0,Consumer Products & Services,30,Corona,CA
962,8th Light,4.5,6600000.0,Software,46,Libertyville,IL
963,Livin' Lite Recreational Vehicles,4.5,16400000.0,Manufacturing,105,Wakarusa,IN
964,Labotec,4.48,2100000.0,IT Services,10,Miami,FL
965,Distinctive Properties,4.48,4100000.0,Real Estate,50,Ketchum,ID
966,Confirm Biosciences,4.47,2100000.0,Health,9,San Diego,CA
967,Contact At Once!,4.46,12300000.0,Software,80,Alpharetta,GA
968,Secured Retail Networks,4.46,5600000.0,IT Services,11,Irvine,CA
969,Three Wire Systems,4.45,40500000.0,Government Services,85,Falls Church,VA
970,WebMarketing123,4.45,7700000.0,Advertising & Marketing,34,Emeryville,CA
971,Imagine Easy Solutions,4.45,3600000.0,Education,19,New York City,NY
972,W.J Bradley Mortgage Capital,4.43,223600000.0,Financial Services,1300,Centennial,CO
973,Viva Railings,4.43,4300000.0,Construction,22,Lewisville,TX
974,HireAHelper.com,4.42,5400000.0,Logistics & Transportation,12,Oceanside,CA
975,Three Twins Ice Cream,4.42,3700000.0,Food & Beverage,50,Petaluma,CA
976,Fruitables Pet Food,4.41,2800000.0,Food & Beverage,3,Dallas,TX
977,Ervin Equipment,4.41,112600000.0,Logistics & Transportation,40,Toledo,IL
978,WillowTree Apps,4.4,4000000.0,Software,41,Charlottesville,VA
979,Infinity Publishing Group,4.39,6100000.0,Logistics & Transportation,23,Webb City,MO
980,Horizontal Integration,4.39,31000000.0,IT Services,365,Minnetonka,MN
981,SEOmoz,4.39,21900000.0,Software,103,Seattle,WA
982,Raj Abhyanker,4.38,7300000.0,Business Products & Services,20,Mountain View,CA
983,Benztown,4.38,2100000.0,Media,12,Burbank,CA
984,SellBackYourBook.com,4.38,9000000.0,Consumer Products & Services,20,Montgomery,IL
985,Fusion Academy and Learning Center,4.37,13200000.0,Education,378,Solana Beach,CA
986,ChromoLogic,4.37,4300000.0,Engineering,16,Pasadena,CA
987,Mariposa MedSpa,4.36,2700000.0,Health,10,Oklahoma City,OK
988,Clear Title Agency of AZ,4.36,7800000.0,Real Estate,51,Phoenix,AZ
989,Gilligan & Ferneman,4.36,4000000.0,Retail,6,Kissimmee,FL
990,GiaSpace,4.36,2300000.0,IT Services,25,Ft Lauderdale,FL
991,The Whitestone Group,4.36,56500000.0,Government Services,829,Columbus,OH
992,Goldfish Medical Staffing,4.35,11400000.0,Health,29,Plano,TX
993,Votigo,4.33,4000000.0,Software,42,Boulder,CO
994,Thompson Thrift Construction,4.32,118000000.0,Construction,75,Terre Haute,IN
995,TeraThink,4.31,30100000.0,IT Services,90,Reston,VA
996,Soccer Shots Franchising,4.31,2100000.0,Consumer Products & Services,126,Middletown,PA
997,BulkReefSupply.com,4.31,11800000.0,Consumer Products & Services,33,Golden Valley,MN
998,Society Consulting,4.3,16100000.0,Business Products & Services,130,Bellevue,WA
999,Tier10,4.3,12200000.0,Advertising & Marketing,53,Herndon,VA
1000,RoundTower Technologies,4.3,50200000.0,IT Services,68,Cincinnati,OH
1001,IfByPhone,4.29,10900000.0,Advertising & Marketing,80,Chicago,IL
1002,Wyndham Capital Mortgage,4.29,44400000.0,Financial Services,170,Charlotte,NC
1003,"Mister Sparky (Houston, TX)",4.28,2900000.0,Construction,20,Katy,TX
1004,Saturn Infotech,4.28,9300000.0,IT Services,100,North Wales,PA
1005,SAWTST,4.28,5100000.0,IT Services,50,Peachtree City,GA
1006,Inspira Marketing Group,4.28,12400000.0,Advertising & Marketing,27,Norwalk,CT
1007,Peerless Technologies,4.27,34500000.0,Government Services,269,Fairborn,OH
1008,Matrix Medical Network,4.27,115800000.0,Health,961,Scottsdale,AZ
1009,SANDLAPPER Securities,4.27,5500000.0,Financial Services,12,Greenville,SC
1010,Resolute Digital,4.26,7100000.0,Advertising & Marketing,28,New York,NY
1011,Just Baked,4.26,3000000.0,Food & Beverage,70,Livonia,MI
1012,Trust Field Services,4.26,8100000.0,Real Estate,41,Miami,FL
1013,Eid Passport,4.24,35400000.0,Security,223,Hillsboro,OR
1014,Stroll,4.24,84900000.0,Education,126,Philadelphia,PA
1015,Ignite Social Media,4.23,13100000.0,Advertising & Marketing,101,Cary,NC
1016,Zenmonics,4.23,13700000.0,IT Services,75,Charlotte,NC
1017,Sundia,4.23,30800000.0,Food & Beverage,8,Orinda,CA
1018,Retail Radio,4.23,3100000.0,Advertising & Marketing,19,Citrus Heights,CA
1019,OmniPoint,4.22,56600000.0,IT Services,127,Miami,FL
1020,BarkerGilmore,4.22,2100000.0,Human Resources,12,Fairport,NY
1021,Vision33,4.22,14600000.0,IT Services,75,Irvine,CA
1022,Sedulo Group,4.21,4900000.0,Business Products & Services,40,Louisville,KY
1023,Credence Management Solutions,4.19,15700000.0,Government Services,95,Washington,DC
1024,PAL General Engineering,4.19,13700000.0,Construction,36,San Diego,CA
1025,Nature's Earthly Choice,4.18,22200000.0,Food & Beverage,5,Eagle,ID
1026,Niner Bikes,4.16,13700000.0,Manufacturing,26,Fort Collins,CO
1027,Culture Studio Screen Printing & Embroidery,4.15,2100000.0,Business Products & Services,35,chicago,IL
1028,Direct Transport Systems,4.15,2800000.0,Logistics & Transportation,1,Farmingdale,NY
1029,Position Logic,4.15,4400000.0,Software,41,Naples,FL
1030,CDYNE,4.14,5300000.0,Software,69,Chesapeake,VA
1031,National Corporate Housing,4.14,87600000.0,Travel & Hospitality,122,Herndon,VA
1032,Source Mantra,4.13,3500000.0,Human Resources,50,South Plainfield,NJ
1033,StrataShops,4.13,4300000.0,Retail,10,Elkhart,IN
1034,Flowroute,4.11,5200000.0,Telecommunications,13,Seattle,WA
1035,Star2Star Communications,4.11,22500000.0,Telecommunications,110,Sarasota,FL
1036,Enstoa,4.11,7000000.0,IT Services,40,New York,NY
1037,Townsend,4.1,5400000.0,Health,68,Lafayette,LA
1038,Performance Truck Products,4.1,5000000.0,Retail,6,Tomball,TX
1039,Zantech IT Services,4.09,22400000.0,Government Services,62,Vienna,VA
1040,American Global Logistics,4.08,199300000.0,Logistics & Transportation,35,Atlanta,GA
1041,Coast Professional,4.07,16800000.0,Financial Services,173,West Monroe,LA
1042,uSamp,4.07,43700000.0,Software,205,Encino,CA
1043,GRS Group,4.07,11600000.0,Real Estate,42,Irvine,CA
1044,Bevilacqua Research,4.07,45500000.0,Government Services,204,Huntsville,AL
1045,Healthcare Growth Partners,4.07,7200000.0,Financial Services,5,Elmhurst,IL
1046,Commercial Bargains,4.06,3900000.0,Business Products & Services,10,West Allis,WI
1047,Renters Warehouse,4.06,9100000.0,Real Estate,78,Minnetonka,MN
1048,Curbed Media,4.06,5100000.0,Media,45,New York,NY
1049,Health Affiliates Maine,4.05,11400000.0,Health,230,Auburn,ME
1050,Richter10.2 Media Group,4.05,2500000.0,Advertising & Marketing,50,San Jose,CA
1051,Kore Federal,4.04,22400000.0,Government Services,110,Falls Church,VA
1052,YOR Health,4.04,31800000.0,Consumer Products & Services,27,Irvine,CA
1053,Veracode,4.04,29400000.0,Software,205,Burlington,MA
1054,Tarte,4.03,52400000.0,Consumer Products & Services,100,new york,NY
1055,Alliance Exposition Services,4.02,4600000.0,Business Products & Services,24,Sterling,VA
1056,PharmaHealth Specialty Pharmacy,4.01,50200000.0,Health,85,Fairhaven,MA
1057,SingleHop,4.01,29100000.0,IT Services,100,Chicago,IL
1058,Lumitec,4.0,5300000.0,Manufacturing,24,Delray Beach,FL
1059,OrgSync,4.0,2400000.0,Software,34,Dallas,TX
1060,Shockoe Commerce,4.0,16000000.0,Consumer Products & Services,20,Richmond,VA
1061,Blue Box,3.99,9000000.0,IT Services,53,Seattle,WA
1062,The Health Law Partners,3.99,7900000.0,Business Products & Services,32,Southfield,MI
1063,Innovative Spa Management,3.99,4300000.0,Business Products & Services,256,Asheville,NC
1064,Popchips,3.98,93300000.0,Food & Beverage,,San Francisco,CA
1065,DoublePositive,3.97,26200000.0,Advertising & Marketing,70,Baltimore,MD
1066,Waveguide,3.96,23300000.0,Telecommunications,101,Nashua,NH
1067,Dionysus Consulting,3.96,3400000.0,Advertising & Marketing,22,West Islip,NY
1068,ValidaTek,3.95,6800000.0,IT Services,37,Arlington,VA
1069,Systems Made Simple,3.94,167100000.0,IT Services,382,Syracuse,NY
1070,One-World,3.94,9800000.0,Health,10,Atlanta,GA
1071,e-Stet,3.94,3400000.0,IT Services,15,Los Angeles,CA
1072,American Partners,3.94,28100000.0,IT Services,23,Pawtucket,RI
1073,Merchandize Liquidators,3.94,9000000.0,Business Products & Services,15,Miami,FL
1074,Mansion Athletics,3.93,2600000.0,Retail,25,Austin,TX
1075,Varrow,3.93,83700000.0,IT Services,80,Greensboro,NC
1076,ekSource Technologies,3.91,3400000.0,IT Services,34,Herndon,VA
1077,Reliant Realty,3.9,13400000.0,Real Estate,560,Nashville,TN
1078,Global Strategic Management Institute,3.9,2700000.0,Education,8,San Diego,CA
1079,InGenesis,3.89,83600000.0,Health,1599,San Antonio,TX
1080,Quake Global,3.89,26200000.0,Telecommunications,75,San Diego,CA
1081,Primeskill Staffing,3.88,16800000.0,Human Resources,23,Oxnard,CA
1082,XpertTech,3.87,11300000.0,IT Services,150,Woburn,MA
1083,Today's Growth Consultant,3.87,2400000.0,Advertising & Marketing,18,Minooka,IL
1084,Mav6,3.87,42600000.0,Government Services,29,Arlington,VA
1085,Part Time Pros,3.87,3200000.0,Business Products & Services,457,Tulsa,OK
1086,Service Nation,3.87,5100000.0,Business Products & Services,15,Flower Mound,TX
1087,High Start Group,3.86,3500000.0,Business Products & Services,13,Boston,MA
1088,Renova Solar,3.86,3300000.0,Energy,38,Palm Desert,CA
1089,MySupplyChainGroup,3.86,4600000.0,Business Products & Services,11,Birmingham,AL
1090,Scrap Metal Services,3.85,356500000.0,Manufacturing,500,Burnham,IL
1091,Blue Fountain Media,3.85,14200000.0,Advertising & Marketing,180,New York,NY
1092,Ahead,3.84,159500000.0,IT Services,140,Chicago,IL
1093,Yashi,3.84,6400000.0,Advertising & Marketing,16,Toms River,NJ
1094,Ruckus Wireless,3.84,214700000.0,Telecommunications,669,Sunnyvale,CA
1095,UpSurge Media Group,3.84,3600000.0,Advertising & Marketing,2,New York,NY
1096,PayLease,3.83,12100000.0,Financial Services,53,San Diego,CA
1097,Spartina 449,3.83,7300000.0,Consumer Products & Services,22,Hilton Head Island,SC
1098,Buildium,3.83,5300000.0,Software,51,Boston,MA
1099,Workplace Solutions,3.83,6900000.0,Business Products & Services,12,Virginia Beach,VA
1100,ArkNet Media,3.82,5300000.0,Consumer Products & Services,20,Garden City,NY
1101,The Aldridge Company,3.81,7900000.0,IT Services,41,Houston,TX
1102,Eating Recovery Center,3.81,44100000.0,Health,375,Denver,CO
1103,Highwire Public Relations,3.8,4100000.0,Advertising & Marketing,23,San Francisco,CA
1104,Balance Staffing,3.79,32600000.0,Human Resources,32,Fort Lauderdale,FL
1105,Avella,3.79,493900000.0,Health,343,Phoenix,AZ
1106,Vista Imaging Services,3.79,22000000.0,Health,45,El Dorado Hills,CA
1107,Hathaway,3.78,11000000.0,Energy,20,Bakersfield,CA
1108,Insyght Interactive,3.78,11300000.0,Health,37,Los Angeles,CA
1109,Immedion,3.77,9900000.0,IT Services,45,Greenville,SC
1110,Amtis,3.77,3600000.0,Government Services,27,Orlando,FL
1111,TG Manufacturing,3.77,7700000.0,Manufacturing,62,Dorr,MI
1112,Stellar Development,3.77,8500000.0,Construction,12,Lakewood Ranch,FL
1113,Dawson & Dawson,3.77,3100000.0,Human Resources,70,Mission Viejo,CA
1114,Streetwise Reports,3.77,4400000.0,Media,26,Petaluma,CA
1115,One Source Networks,3.76,33700000.0,Telecommunications,66,Austin,TX
1116,Stearns Lending,3.76,493300000.0,Financial Services,1382,Santa Ana,CA
1117,The Orchid Boutique,3.76,2400000.0,Retail,12,Miami,FL
1118,ClickAway,3.76,18700000.0,IT Services,115,Campbell,CA
