ICD.Chapter,State,Year,Deaths,Population,Crude.Rate
Mental and behavioural disorders,NV,2010,915,2700551,33.9
Mental and behavioural disorders,NH,1999,181,1222014,14.8
Mental and behavioural disorders,NH,2000,197,1235786,15.9
Mental and behavioural disorders,NH,2001,214,1255517,17
Mental and behavioural disorders,NH,2002,198,1269089,15.6
Mental and behavioural disorders,NH,2003,223,1279840,17.4
Mental and behavioural disorders,NH,2004,249,1290121,19.3
Mental and behavioural disorders,NH,2005,362,1298492,27.9
Mental and behavioural disorders,NH,2006,465,1308389,35.5
Mental and behavioural disorders,NH,2007,485,1312540,37
Mental and behavioural disorders,NH,2008,561,1315906,42.6
Mental and behavioural disorders,NH,2009,565,1316102,42.9
Mental and behavioural disorders,NH,2010,591,1316470,44.9
Mental and behavioural disorders,NJ,1999,1037,8359592,12.4
Mental and behavioural disorders,NJ,2000,1119,8414350,13.3
Mental and behavioural disorders,NJ,2001,1192,8492671,14
Mental and behavioural disorders,NJ,2002,1283,8552643,15
Mental and behavioural disorders,NJ,2003,1409,8601402,16.4
Mental and behavioural disorders,NJ,2004,1628,8634561,18.9
Mental and behavioural disorders,NJ,2005,1781,8651974,20.6
Mental and behavioural disorders,NJ,2006,2379,8661679,27.5
Mental and behavioural disorders,NJ,2007,2299,8677885,26.5
Mental and behavioural disorders,NJ,2008,2589,8711090,29.7
Mental and behavioural disorders,NJ,2009,2480,8755602,28.3
Mental and behavioural disorders,NJ,2010,2969,8791894,33.8
Mental and behavioural disorders,NM,1999,369,1808082,20.4
Mental and behavioural disorders,NM,2000,408,1819046,22.4
Mental and behavioural disorders,NM,2001,442,1831690,24.1
Mental and behavioural disorders,NM,2002,429,1855309,23.1
Mental and behavioural disorders,NM,2003,498,1877574,26.5
Mental and behavioural disorders,NM,2004,538,1903808,28.3
Mental and behavioural disorders,NM,2005,631,1932274,32.7
Mental and behavioural disorders,NM,2006,693,1962137,35.3
Mental and behavioural disorders,NM,2007,655,1990070,32.9
Mental and behavioural disorders,NM,2008,789,2010662,39.2
Mental and behavioural disorders,NM,2009,829,2036802,40.7
Mental and behavioural disorders,NM,2010,917,2059179,44.5
Mental and behavioural disorders,NY,1999,2029,18882725,10.7
Mental and behavioural disorders,NY,2000,2214,18976457,11.7
Mental and behavioural disorders,NY,2001,2608,19082838,13.7
Mental and behavioural disorders,NY,2002,2658,19137800,13.9
Mental and behavioural disorders,NY,2003,2986,19175939,15.6
Mental and behavioural disorders,NY,2004,3086,19171567,16.1
Mental and behavioural disorders,NY,2005,3424,19132610,17.9
Mental and behavioural disorders,NY,2006,4394,19104631,23
Mental and behavioural disorders,NY,2007,4420,19132335,23.1
Mental and behavioural disorders,NY,2008,4855,19212436,25.3
Mental and behavioural disorders,NY,2009,4974,19307066,25.8
Mental and behavioural disorders,NY,2010,5893,19378102,30.4
Mental and behavioural disorders,NC,1999,1342,7949361,16.9
Mental and behavioural disorders,NC,2000,1478,8049313,18.4
Mental and behavioural disorders,NC,2001,1566,8210122,19.1
Mental and behavioural disorders,NC,2002,1787,8326201,21.5
Mental and behavioural disorders,NC,2003,1968,8422501,23.4
Mental and behavioural disorders,NC,2004,2103,8553152,24.6
Mental and behavioural disorders,NC,2005,2441,8705407,28
Mental and behavioural disorders,NC,2006,3205,8917270,35.9
Mental and behavioural disorders,NC,2007,3386,9118037,37.1
Mental and behavioural disorders,NC,2008,4046,9309449,43.5
Mental and behavioural disorders,NC,2009,4104,9449566,43.4
Mental and behavioural disorders,NC,2010,4637,9535483,48.6
Mental and behavioural disorders,ND,1999,148,644259,23
Mental and behavioural disorders,ND,2000,73,642200,11.4
Mental and behavioural disorders,ND,2001,86,639062,13.5
Mental and behavioural disorders,ND,2002,92,638168,14.4
Mental and behavioural disorders,ND,2003,89,638817,13.9
Mental and behavioural disorders,ND,2004,71,644705,11
Mental and behavioural disorders,ND,2005,109,646089,16.9
Mental and behavioural disorders,ND,2006,154,649422,23.7
Mental and behavioural disorders,ND,2007,135,652822,20.7
Mental and behavioural disorders,ND,2008,235,657569,35.7
Mental and behavioural disorders,ND,2009,213,664968,32
Mental and behavioural disorders,ND,2010,221,672591,32.9
Mental and behavioural disorders,OH,1999,2090,11335454,18.4
Mental and behavioural disorders,OH,2000,2310,11353140,20.3
Mental and behavioural disorders,OH,2001,2506,11387404,22
Mental and behavioural disorders,OH,2002,2913,11407889,25.5
Mental and behavioural disorders,OH,2003,3032,11434788,26.5
Mental and behavioural disorders,OH,2004,3049,11452251,26.6
Mental and behavioural disorders,OH,2005,3494,11463320,30.5
Mental and behavioural disorders,OH,2006,4391,11481213,38.2
Mental and behavioural disorders,OH,2007,4225,11500468,36.7
Mental and behavioural disorders,OH,2008,5268,11515391,45.7
Mental and behavioural disorders,OH,2009,5027,11528896,43.6
Mental and behavioural disorders,OH,2010,5681,11536504,49.2
Mental and behavioural disorders,OK,1999,553,3437147,16.1
Mental and behavioural disorders,OK,2000,576,3450654,16.7
Mental and behavioural disorders,OK,2001,617,3467100,17.8
Mental and behavioural disorders,OK,2002,644,3489080,18.5
Mental and behavioural disorders,OK,2003,713,3504892,20.3
Mental and behavioural disorders,OK,2004,774,3525233,22
Mental and behavioural disorders,OK,2005,991,3548597,27.9
Mental and behavioural disorders,OK,2006,1428,3594090,39.7
Mental and behavioural disorders,OK,2007,1399,3634349,38.5
Mental and behavioural disorders,OK,2008,1518,3668976,41.4
Mental and behavioural disorders,OK,2009,1525,3717572,41
Mental and behavioural disorders,OK,2010,1720,3751351,45.9
Mental and behavioural disorders,OR,1999,813,3393941,24
Mental and behavioural disorders,OR,2000,894,3421399,26.1
Mental and behavioural disorders,OR,2001,926,3467937,26.7
Mental and behavioural disorders,OR,2002,1056,3513424,30.1
Mental and behavioural disorders,OR,2003,1183,3547376,33.3
Mental and behavioural disorders,OR,2004,1122,3569463,31.4
Mental and behavioural disorders,OR,2005,1355,3613202,37.5
Mental and behavioural disorders,OR,2006,1696,3670883,46.2
Mental and behavioural disorders,OR,2007,1755,3722417,47.1
Mental and behavioural disorders,OR,2008,1974,3768748,52.4
Mental and behavioural disorders,OR,2009,1987,3808600,52.2
Mental and behavioural disorders,OR,2010,2205,3831074,57.6
Mental and behavioural disorders,PA,1999,1825,12263805,14.9
Mental and behavioural disorders,PA,2000,2049,12281054,16.7
Mental and behavioural disorders,PA,2001,2387,12298970,19.4
Mental and behavioural disorders,PA,2002,2642,12331031,21.4
Mental and behavioural disorders,PA,2003,3005,12374658,24.3
Mental and behavioural disorders,PA,2004,3067,12410722,24.7
Mental and behavioural disorders,PA,2005,3783,12449990,30.4
Mental and behavioural disorders,PA,2006,4926,12510809,39.4
Mental and behavioural disorders,PA,2007,5025,12563937,40
Mental and behavioural disorders,PA,2008,5731,12612285,45.4
Mental and behavioural disorders,PA,2009,5899,12666858,46.6
Mental and behavioural disorders,PA,2010,6707,12702379,52.8
Mental and behavioural disorders,RI,1999,205,1040402,19.7
Mental and behavioural disorders,RI,2000,206,1048319,19.7
Mental and behavioural disorders,RI,2001,221,1057142,20.9
Mental and behavioural disorders,RI,2002,323,1065995,30.3
Mental and behavioural disorders,RI,2003,284,1071342,26.5
Mental and behavioural disorders,RI,2004,292,1074579,27.2
Mental and behavioural disorders,RI,2005,408,1067916,38.2
Mental and behavioural disorders,RI,2006,470,1063096,44.2
Mental and behavioural disorders,RI,2007,460,1057315,43.5
Mental and behavioural disorders,RI,2008,498,1055003,47.2
Mental and behavioural disorders,RI,2009,544,1053646,51.6
Mental and behavioural disorders,RI,2010,625,1052567,59.4
Mental and behavioural disorders,SC,1999,680,3974682,17.1
Mental and behavioural disorders,SC,2000,853,4012012,21.3
Mental and behavioural disorders,SC,2001,839,4064995,20.6
Mental and behavioural disorders,SC,2002,993,4107795,24.2
Mental and behavioural disorders,SC,2003,1118,4150297,26.9
Mental and behavioural disorders,SC,2004,1119,4210921,26.6
Mental and behavioural disorders,SC,2005,1334,4270150,31.2
Mental and behavioural disorders,SC,2006,1768,4357847,40.6
Mental and behavioural disorders,SC,2007,1598,4444110,36
Mental and behavioural disorders,SC,2008,2002,4528996,44.2
Mental and behavioural disorders,SC,2009,2055,4589872,44.8
Mental and behavioural disorders,SC,2010,2405,4625364,52
Mental and behavioural disorders,SD,1999,168,750412,22.4
Mental and behavioural disorders,SD,2000,158,754844,20.9
Mental and behavioural disorders,SD,2001,173,757972,22.8
Mental and behavioural disorders,SD,2002,166,760020,21.8
Mental and behavioural disorders,SD,2003,188,763729,24.6
Mental and behavioural disorders,SD,2004,159,770396,20.6
Mental and behavioural disorders,SD,2005,70,775493,9
Mental and behavioural disorders,SD,2006,167,783033,21.3
Mental and behavioural disorders,SD,2007,122,791623,15.4
Mental and behavioural disorders,SD,2008,175,799124,21.9
Mental and behavioural disorders,SD,2009,174,807067,21.6
Mental and behavioural disorders,SD,2010,187,814180,23
Mental and behavioural disorders,TN,1999,921,5638706,16.3
Mental and behavioural disorders,TN,2000,1015,5689283,17.8
Mental and behavioural disorders,TN,2001,1098,5750789,19.1
Mental and behavioural disorders,TN,2002,1197,5795918,20.7
Mental and behavioural disorders,TN,2003,1237,5847812,21.2
Mental and behavioural disorders,TN,2004,1131,5910809,19.1
Mental and behavioural disorders,TN,2005,1156,5991057,19.3
Mental and behavioural disorders,TN,2006,1564,6088766,25.7
Mental and behavioural disorders,TN,2007,1560,6175727,25.3
Mental and behavioural disorders,TN,2008,2016,6247411,32.3
Mental and behavioural disorders,TN,2009,2084,6306019,33
Mental and behavioural disorders,TN,2010,2466,6346105,38.9
Mental and behavioural disorders,TX,1999,2431,20558220,11.8
Mental and behavioural disorders,TX,2000,2843,20851820,13.6
Mental and behavioural disorders,TX,2001,3161,21319622,14.8
Mental and behavioural disorders,TX,2002,3580,21690325,16.5
Mental and behavioural disorders,TX,2003,3697,22030931,16.8
Mental and behavioural disorders,TX,2004,3824,22394023,17.1
Mental and behavioural disorders,TX,2005,4344,22778123,19.1
Mental and behavioural disorders,TX,2006,6059,23359580,25.9
Mental and behavioural disorders,TX,2007,5920,23831983,24.8
Mental and behavioural disorders,TX,2008,6958,24309039,28.6
Mental and behavioural disorders,TX,2009,7234,24801761,29.2
Mental and behavioural disorders,TX,2010,8119,25145561,32.3
Mental and behavioural disorders,UT,1999,394,2203482,17.9
Mental and behavioural disorders,UT,2000,415,2233169,18.6
Mental and behavioural disorders,UT,2001,461,2283715,20.2
Mental and behavioural disorders,UT,2002,529,2324815,22.8
Mental and behavioural disorders,UT,2003,575,2360137,24.4
Mental and behavioural disorders,UT,2004,556,2401580,23.2
Mental and behavioural disorders,UT,2005,639,2457719,26
Mental and behavioural disorders,UT,2006,692,2525507,27.4
Mental and behavioural disorders,UT,2007,712,2597746,27.4
Mental and behavioural disorders,UT,2008,832,2663029,31.2
Mental and behavioural disorders,UT,2009,817,2723421,30
Mental and behavioural disorders,UT,2010,885,2763885,32
Mental and behavioural disorders,VT,1999,107,604683,17.7
Mental and behavioural disorders,VT,2000,125,608827,20.5
Mental and behavioural disorders,VT,2001,146,612223,23.8
Mental and behavioural disorders,VT,2002,153,615442,24.9
Mental and behavioural disorders,VT,2003,170,617858,27.5
Mental and behavioural disorders,VT,2004,160,619920,25.8
Mental and behavioural disorders,VT,2005,161,621215,25.9
Mental and behavioural disorders,VT,2006,245,622892,39.3
Mental and behavioural disorders,VT,2007,217,623481,34.8
Mental and behavioural disorders,VT,2008,257,624151,41.2
Mental and behavioural disorders,VT,2009,262,624817,41.9
Mental and behavioural disorders,VT,2010,300,625741,47.9
Mental and behavioural disorders,VA,1999,1019,7000174,14.6
Mental and behavioural disorders,VA,2000,1090,7078515,15.4
Mental and behavioural disorders,VA,2001,1149,7198362,16
Mental and behavioural disorders,VA,2002,1279,7286873,17.6
Mental and behavioural disorders,VA,2003,1463,7366977,19.9
Mental and behavioural disorders,VA,2004,1388,7475575,18.6
Mental and behavioural disorders,VA,2005,1595,7577105,21.1
Mental and behavioural disorders,VA,2006,2166,7673725,28.2
Mental and behavioural disorders,VA,2007,2257,7751000,29.1
Mental and behavioural disorders,VA,2008,2681,7833496,34.2
Mental and behavioural disorders,VA,2009,2722,7925937,34.3
Mental and behavioural disorders,VA,2010,3052,8001024,38.1
Mental and behavioural disorders,WA,1999,446,5842564,7.6
Mental and behavioural disorders,WA,2000,450,5894121,7.6
Mental and behavioural disorders,WA,2001,507,5985722,8.5
Mental and behavioural disorders,WA,2002,552,6052349,9.1
Mental and behavioural disorders,WA,2003,580,6104115,9.5
Mental and behavioural disorders,WA,2004,696,6178645,11.3
Mental and behavioural disorders,WA,2005,1080,6257305,17.3
Mental and behavioural disorders,WA,2006,1463,6370753,23
Mental and behavioural disorders,WA,2007,1219,6461587,18.9
Mental and behavioural disorders,WA,2008,1438,6562231,21.9
Mental and behavioural disorders,WA,2009,1350,6667426,20.2
Mental and behavioural disorders,WA,2010,1563,6724540,23.2
Mental and behavioural disorders,WV,1999,325,1811799,17.9
Mental and behavioural disorders,WV,2000,378,1808344,20.9
Mental and behavioural disorders,WV,2001,341,1801481,18.9
Mental and behavioural disorders,WV,2002,390,1805414,21.6
Mental and behavioural disorders,WV,2003,446,1812295,24.6
Mental and behavioural disorders,WV,2004,394,1816438,21.7
Mental and behavioural disorders,WV,2005,466,1820492,25.6
Mental and behavioural disorders,WV,2006,651,1827912,35.6
Mental and behavioural disorders,WV,2007,701,1834052,38.2
Mental and behavioural disorders,WV,2008,836,1840310,45.4
Mental and behavioural disorders,WV,2009,806,1847775,43.6
Mental and behavioural disorders,WV,2010,968,1852994,52.2
Mental and behavioural disorders,WI,1999,1224,5332666,23
Mental and behavioural disorders,WI,2000,1236,5363675,23
Mental and behavioural disorders,WI,2001,1500,5406835,27.7
Mental and behavioural disorders,WI,2002,1574,5445162,28.9
Mental and behavioural disorders,WI,2003,1719,5479203,31.4
Mental and behavioural disorders,WI,2004,1770,5514026,32.1
Mental and behavioural disorders,WI,2005,2110,5546166,38
Mental and behavioural disorders,WI,2006,2511,5577655,45
Mental and behavioural disorders,WI,2007,2446,5610775,43.6
Mental and behavioural disorders,WI,2008,2821,5640996,50
Mental and behavioural disorders,WI,2009,2843,5669264,50.1
Mental and behavioural disorders,WI,2010,3185,5686986,56
Mental and behavioural disorders,WY,1999,73,491780,14.8
Mental and behavioural disorders,WY,2000,99,493782,20
Mental and behavioural disorders,WY,2001,83,494657,16.8
Mental and behavioural disorders,WY,2002,109,500017,21.8
Mental and behavioural disorders,WY,2003,96,503453,19.1
Mental and behavioural disorders,WY,2004,112,509106,22
Mental and behavioural disorders,WY,2005,130,514157,25.3
Mental and behavioural disorders,WY,2006,151,522667,28.9
Mental and behavioural disorders,WY,2007,148,534876,27.7
Mental and behavioural disorders,WY,2008,134,546043,24.5
Mental and behavioural disorders,WY,2009,175,559851,31.3
Mental and behavioural disorders,WY,2010,150,563626,26.6
Diseases of the nervous system,AL,1999,1440,4430141,32.5
Diseases of the nervous system,AL,2000,1601,4447100,36
Diseases of the nervous system,AL,2001,1802,4467634,40.3
Diseases of the nervous system,AL,2002,1911,4480089,42.7
Diseases of the nervous system,AL,2003,2019,4503491,44.8
Diseases of the nervous system,AL,2004,2125,4530729,46.9
Diseases of the nervous system,AL,2005,2344,4569805,51.3
Diseases of the nervous system,AL,2006,2368,4628981,51.2
Diseases of the nervous system,AL,2007,2450,4672840,52.4
Diseases of the nervous system,AL,2008,2490,4718206,52.8
Diseases of the nervous system,AL,2009,2538,4757938,53.3
Diseases of the nervous system,AL,2010,2539,4779736,53.1
Diseases of the nervous system,AK,1999,69,624779,11
Diseases of the nervous system,AK,2000,115,626932,18.3
Diseases of the nervous system,AK,2001,108,633714,17
Diseases of the nervous system,AK,2002,116,642337,18.1
Diseases of the nervous system,AK,2003,117,648414,18
Diseases of the nervous system,AK,2004,108,659286,16.4
Diseases of the nervous system,AK,2005,132,666946,19.8
Diseases of the nervous system,AK,2006,161,675302,23.8
Diseases of the nervous system,AK,2007,150,680300,22
Diseases of the nervous system,AK,2008,162,687455,23.6
Diseases of the nervous system,AK,2009,143,698895,20.5
Diseases of the nervous system,AK,2010,189,710231,26.6
Diseases of the nervous system,AZ,1999,1714,5023823,34.1
Diseases of the nervous system,AZ,2000,1818,5130632,35.4
Diseases of the nervous system,AZ,2001,1894,5273477,35.9
Diseases of the nervous system,AZ,2002,2297,5396255,42.6
Diseases of the nervous system,AZ,2003,2570,5510364,46.6
Diseases of the nervous system,AZ,2004,2578,5652404,45.6
Diseases of the nervous system,AZ,2005,2815,5839077,48.2
Diseases of the nervous system,AZ,2006,3131,6029141,51.9
Diseases of the nervous system,AZ,2007,3104,6167681,50.3
Diseases of the nervous system,AZ,2008,3150,6280362,50.2
Diseases of the nervous system,AZ,2009,3109,6343154,49
Diseases of the nervous system,AZ,2010,3473,6392017,54.3
Diseases of the nervous system,AR,1999,810,2651860,30.5
Diseases of the nervous system,AR,2000,869,2673400,32.5
Diseases of the nervous system,AR,2001,909,2691571,33.8
Diseases of the nervous system,AR,2002,1020,2705927,37.7
Diseases of the nervous system,AR,2003,968,2724816,35.5
Diseases of the nervous system,AR,2004,1075,2749686,39.1
Diseases of the nervous system,AR,2005,1161,2781097,41.7
Diseases of the nervous system,AR,2006,1274,2821761,45.1
Diseases of the nervous system,AR,2007,1334,2848650,46.8
Diseases of the nervous system,AR,2008,1395,2874554,48.5
Diseases of the nervous system,AR,2009,1434,2896843,49.5
Diseases of the nervous system,AR,2010,1567,2915918,53.7
Diseases of the nervous system,CA,1999,8182,33499204,24.4
Diseases of the nervous system,CA,2000,8051,33871648,23.8
Diseases of the nervous system,CA,2001,8490,34479458,24.6
Diseases of the nervous system,CA,2002,9197,34871843,26.4
Diseases of the nervous system,CA,2003,10669,35253159,30.3
Diseases of the nervous system,CA,2004,11073,35574576,31.1
Diseases of the nervous system,CA,2005,11982,35827943,33.4
Diseases of the nervous system,CA,2006,12596,36021202,35
Diseases of the nervous system,CA,2007,13002,36250311,35.9
Diseases of the nervous system,CA,2008,14718,36604337,40.2
Diseases of the nervous system,CA,2009,14669,36961229,39.7
Diseases of the nervous system,CA,2010,15983,37253956,42.9
Diseases of the nervous system,CO,1999,1277,4226018,30.2
Diseases of the nervous system,CO,2000,1343,4301261,31.2
Diseases of the nervous system,CO,2001,1451,4425687,32.8
Diseases of the nervous system,CO,2002,1620,4490406,36.1
Diseases of the nervous system,CO,2003,1665,4528732,36.8
Diseases of the nervous system,CO,2004,1626,4575013,35.5
Diseases of the nervous system,CO,2005,1816,4631888,39.2
Diseases of the nervous system,CO,2006,1825,4720423,38.7
Diseases of the nervous system,CO,2007,1926,4803868,40.1
Diseases of the nervous system,CO,2008,2247,4889730,46
Diseases of the nervous system,CO,2009,2145,4972195,43.1
Diseases of the nervous system,CO,2010,2210,5029196,43.9
Diseases of the nervous system,CT,1999,963,3386401,28.4
Diseases of the nervous system,CT,2000,1064,3405565,31.2
Diseases of the nervous system,CT,2001,1106,3432835,32.2
Diseases of the nervous system,CT,2002,1113,3458749,32.2
Diseases of the nervous system,CT,2003,1158,3484336,33.2
Diseases of the nervous system,CT,2004,1241,3496094,35.5
Diseases of the nervous system,CT,2005,1352,3506956,38.6
Diseases of the nervous system,CT,2006,1333,3517460,37.9
Diseases of the nervous system,CT,2007,1375,3527270,39
Diseases of the nervous system,CT,2008,1469,3545579,41.4
Diseases of the nervous system,CT,2009,1419,3561807,39.8
Diseases of the nervous system,CT,2010,1456,3574097,40.7
Diseases of the nervous system,DE,1999,227,774990,29.3
Diseases of the nervous system,DE,2000,236,783600,30.1
Diseases of the nervous system,DE,2001,261,795699,32.8
Diseases of the nervous system,DE,2002,249,806169,30.9
Diseases of the nervous system,DE,2003,273,818003,33.4
Diseases of the nervous system,DE,2004,288,830803,34.7
Diseases of the nervous system,DE,2005,357,845150,42.2
Diseases of the nervous system,DE,2006,335,859268,39
Diseases of the nervous system,DE,2007,348,871749,39.9
Diseases of the nervous system,DE,2008,360,883874,40.7
Diseases of the nervous system,DE,2009,339,891730,38
Diseases of the nervous system,DE,2010,379,897934,42.2
Diseases of the nervous system,DC,1999,127,570213,22.3
Diseases of the nervous system,DC,2000,153,572059,26.7
Diseases of the nervous system,DC,2001,189,574504,32.9
Diseases of the nervous system,DC,2002,185,573158,32.3
Diseases of the nervous system,DC,2003,177,568502,31.1
Diseases of the nervous system,DC,2004,201,567754,35.4
Diseases of the nervous system,DC,2005,190,567136,33.5
Diseases of the nervous system,DC,2006,209,570681,36.6
Diseases of the nervous system,DC,2007,202,574404,35.2
Diseases of the nervous system,DC,2008,211,580236,36.4
Diseases of the nervous system,DC,2009,169,592228,28.5
Diseases of the nervous system,DC,2010,202,601723,33.6
Diseases of the nervous system,FL,1999,5792,15759421,36.8
Diseases of the nervous system,FL,2000,6138,15982378,38.4
Diseases of the nervous system,FL,2001,6724,16356966,41.1
Diseases of the nervous system,FL,2002,7107,16689370,42.6
Diseases of the nervous system,FL,2003,7697,17004085,45.3
Diseases of the nervous system,FL,2004,7632,17415318,43.8
Diseases of the nervous system,FL,2005,8297,17842038,46.5
Diseases of the nervous system,FL,2006,8621,18166990,47.5
Diseases of the nervous system,FL,2007,8795,18367842,47.9
Diseases of the nervous system,FL,2008,9222,18527305,49.8
Diseases of the nervous system,FL,2009,9313,18652644,49.9
Diseases of the nervous system,FL,2010,9776,18801310,52
Diseases of the nervous system,GA,1999,1969,8045965,24.5
Diseases of the nervous system,GA,2000,2260,8186453,27.6
Diseases of the nervous system,GA,2001,2509,8377038,30
Diseases of the nervous system,GA,2002,2542,8508256,29.9
Diseases of the nervous system,GA,2003,2738,8622793,31.8
Diseases of the nervous system,GA,2004,2834,8769252,32.3
Diseases of the nervous system,GA,2005,2941,8925922,32.9
Diseases of the nervous system,GA,2006,3035,9155813,33.1
Diseases of the nervous system,GA,2007,3146,9349988,33.6
Diseases of the nervous system,GA,2008,3238,9504843,34.1
Diseases of the nervous system,GA,2009,3268,9620846,34
Diseases of the nervous system,GA,2010,3525,9687653,36.4
Diseases of the nervous system,HI,1999,295,1210300,24.4
Diseases of the nervous system,HI,2000,287,1211537,23.7
Diseases of the nervous system,HI,2001,306,1225948,25
Diseases of the nervous system,HI,2002,323,1239613,26.1
Diseases of the nervous system,HI,2003,365,1251154,29.2
Diseases of the nervous system,HI,2004,352,1273569,27.6
Diseases of the nervous system,HI,2005,385,1292729,29.8
Diseases of the nervous system,HI,2006,417,1309731,31.8
Diseases of the nervous system,HI,2007,481,1315675,36.6
Diseases of the nervous system,HI,2008,405,1332213,30.4
Diseases of the nervous system,HI,2009,489,1346717,36.3
Diseases of the nervous system,HI,2010,418,1360301,30.7
Diseases of the nervous system,ID,1999,418,1275674,32.8
Diseases of the nervous system,ID,2000,469,1293953,36.2
Diseases of the nervous system,ID,2001,518,1319962,39.2
Diseases of the nervous system,ID,2002,554,1340372,41.3
Diseases of the nervous system,ID,2003,588,1363380,43.1
Diseases of the nervous system,ID,2004,611,1391802,43.9
Diseases of the nervous system,ID,2005,682,1428241,47.8
Diseases of the nervous system,ID,2006,667,1468669,45.4
Diseases of the nervous system,ID,2007,713,1505105,47.4
Diseases of the nervous system,ID,2008,667,1534320,43.5
Diseases of the nervous system,ID,2009,672,1554439,43.2
Diseases of the nervous system,ID,2010,710,1567582,45.3
Diseases of the nervous system,IL,1999,3754,12359020,30.4
Diseases of the nervous system,IL,2000,4000,12419293,32.2
Diseases of the nervous system,IL,2001,4051,12488445,32.4
Diseases of the nervous system,IL,2002,4429,12525556,35.4
Diseases of the nervous system,IL,2003,4585,12556006,36.5
Diseases of the nervous system,IL,2004,4654,12589773,37
Diseases of the nervous system,IL,2005,5025,12609903,39.8
Diseases of the nervous system,IL,2006,4928,12643955,39
Diseases of the nervous system,IL,2007,4881,12695866,38.4
Diseases of the nervous system,IL,2008,5498,12747038,43.1
Diseases of the nervous system,IL,2009,5180,12796778,40.5
Diseases of the nervous system,IL,2010,5239,12830632,40.8
Diseases of the nervous system,IN,1999,2017,6044969,33.4
Diseases of the nervous system,IN,2000,2236,6080485,36.8
Diseases of the nervous system,IN,2001,2310,6127760,37.7
Diseases of the nervous system,IN,2002,2519,6155967,40.9
Diseases of the nervous system,IN,2003,2724,6196638,44
Diseases of the nervous system,IN,2004,2671,6233007,42.9
Diseases of the nervous system,IN,2005,2814,6278616,44.8
Diseases of the nervous system,IN,2006,2918,6332669,46.1
Diseases of the nervous system,IN,2007,2887,6379599,45.3
Diseases of the nervous system,IN,2008,3284,6424806,51.1
Diseases of the nervous system,IN,2009,3171,6459325,49.1
Diseases of the nervous system,IN,2010,3272,6483802,50.5
Diseases of the nervous system,IA,1999,1205,2917634,41.3
Diseases of the nervous system,IA,2000,1271,2926324,43.4
Diseases of the nervous system,IA,2001,1348,2931997,46
Diseases of the nervous system,IA,2002,1459,2934234,49.7
Diseases of the nervous system,IA,2003,1451,2941999,49.3
Diseases of the nervous system,IA,2004,1474,2953635,49.9
Diseases of the nervous system,IA,2005,1683,2964454,56.8
Diseases of the nervous system,IA,2006,1760,2982644,59
Diseases of the nervous system,IA,2007,1849,2999212,61.6
Diseases of the nervous system,IA,2008,2048,3016734,67.9
Diseases of the nervous system,IA,2009,1965,3032870,64.8
Diseases of the nervous system,IA,2010,2169,3046355,71.2
Diseases of the nervous system,KS,1999,969,2678338,36.2
Diseases of the nervous system,KS,2000,1073,2688418,39.9
Diseases of the nervous system,KS,2001,1165,2702162,43.1
Diseases of the nervous system,KS,2002,1281,2713535,47.2
Diseases of the nervous system,KS,2003,1348,2723004,49.5
Diseases of the nervous system,KS,2004,1322,2734373,48.3
Diseases of the nervous system,KS,2005,1502,2745299,54.7
Diseases of the nervous system,KS,2006,1430,2762931,51.8
Diseases of the nervous system,KS,2007,1478,2783785,53.1
Diseases of the nervous system,KS,2008,1540,2808076,54.8
Diseases of the nervous system,KS,2009,1421,2832704,50.2
Diseases of the nervous system,KS,2010,1416,2853118,49.6
Diseases of the nervous system,KY,1999,1311,4018053,32.6
Diseases of the nervous system,KY,2000,1455,4041769,36
Diseases of the nervous system,KY,2001,1561,4068132,38.4
Diseases of the nervous system,KY,2002,1657,4089875,40.5
Diseases of the nervous system,KY,2003,1784,4117170,43.3
Diseases of the nervous system,KY,2004,1635,4146101,39.4
Diseases of the nervous system,KY,2005,1851,4182742,44.3
Diseases of the nervous system,KY,2006,1935,4219239,45.9
Diseases of the nervous system,KY,2007,1932,4256672,45.4
Diseases of the nervous system,KY,2008,2206,4289878,51.4
Diseases of the nervous system,KY,2009,2208,4317074,51.1
Diseases of the nervous system,KY,2010,2326,4339367,53.6
Diseases of the nervous system,LA,1999,1304,4460811,29.2
Diseases of the nervous system,LA,2000,1465,4468976,32.8
Diseases of the nervous system,LA,2001,1628,4477875,36.4
Diseases of the nervous system,LA,2002,1840,4497267,40.9
Diseases of the nervous system,LA,2003,1902,4521042,42.1
Diseases of the nervous system,LA,2004,1999,4552238,43.9
Diseases of the nervous system,LA,2005,2225,4576628,48.6
Diseases of the nervous system,LA,2006,2047,4302665,47.6
Diseases of the nervous system,LA,2007,2105,4375581,48.1
Diseases of the nervous system,LA,2008,2110,4435586,47.6
Diseases of the nervous system,LA,2009,2160,4491648,48.1
Diseases of the nervous system,LA,2010,2080,4533372,45.9
Diseases of the nervous system,ME,1999,653,1266808,51.5
Diseases of the nervous system,ME,2000,723,1274923,56.7
Diseases of the nervous system,ME,2001,715,1285692,55.6
Diseases of the nervous system,ME,2002,775,1295960,59.8
Diseases of the nervous system,ME,2003,707,1306513,54.1
Diseases of the nervous system,ME,2004,779,1313688,59.3
Diseases of the nervous system,ME,2005,763,1318787,57.9
Diseases of the nervous system,ME,2006,756,1323619,57.1
Diseases of the nervous system,ME,2007,756,1327040,57
